Petromyzon marinus,LAU
Lampetra fluviatilis,LAR
Lampetra aepyptera,IDK
Lampetra ayresii,IDL
Lampetra planeri,IDN
Lampetra richardsoni,IDO
Lampetra lanceolata,IKQ
Lampetra pacifica,IKR
Ichthyomyzon unicuspis,LAY
Ichthyomyzon bdellium,IDE
Ichthyomyzon castaneus,IDG
Ichthyomyzon fossor,IDH
Ichthyomyzon gagei,IDI
Ichthyomyzon greeleyi,IDJ
Eudontomyzon mariae,LAF
Eudontomyzon danfordi,ICJ
Eudontomyzon graecus,IKG
Eudontomyzon hellenicus,IKJ
Eudontomyzon morii,IKL
Caspiomyzon wagneri,LAW
Lethenteron camtschaticum,LSZ
Lethenteron kessleri,IDQ
Lethenteron ninae,IDT
Lethenteron reissneri,IDU
Lethenteron zanandreai,IDV
Lethenteron alaskense,IKT
Lethenteron appendix,IKU
Entosphenus tridentatus,LAO
Entosphenus folletti,IJX
Entosphenus hubbsi,IJY
Entosphenus lethophagus,IJZ
Entosphenus macrostomus,IKD
Entosphenus minimus,IKE
Entosphenus similis,IKF
Tetrapleurodon geminis,IKV
Tetrapleurodon spadiceus,IKW
Petromyzontidae,LAS
Mordacia lapicida,ICE
Mordacia praecox,ICF
Mordacia mordax,LAK
Geotria australis,LAE
Paramyxine atami,MYP
Myxine glutinosa,MYG
Nemamyxine elongata,MYE
Eptatretus burgeri,MYB
Eptatretus stoutii,MYU
Eptatretus cirrhatus,MWC
Myxinidae,MYX
Heterodontus francisci,HEF
Heterodontus galeatus,HEG
Heterodontus japonicus,HEJ
Heterodontus mexicanus,HEM
Heterodontus portusjacksoni,HEK
Heterodontus quoyi,HEQ
Heterodontus ramalheira,HEA
Heterodontus zebra,HEZ
Heterodontiformes,HDQ
Chlamydoselachus anguineus,HXC
Chlamydoselachus africana,HWR
Hexanchus griseus,SBL
Hexanchus nakamurai,HXN
Heptranchias perlo,HXT
Notorynchus cepedianus,NTC
Hexanchiformes,HXW
Cetorhinus maximus,BSK
Carcharias taurus,CCT
Carcharias tricuspidatus,LOU
Odontaspis ferox,LOO
Odontaspis noronhai,ODH
Mitsukurina owstoni,LMO
Pseudocarcharias kamoharai,PSK
Megachasma pelagios,LMP
Alopias vulpinus,ALV
Alopias pelagicus,PTH
Alopias superciliosus,BTH
Alopias spp,THR
Isurus oxyrinchus,SMA
Isurus paucus,LMA
Isurus spp,MAK
Lamna nasus,POR
Lamna ditropis,LMD
Carcharodon carcharias,WSH
Lamnidae,MSK
Lamniformes,LMZ
Stegostoma fasciatum,OSF
Eucrossorhinus dasypogon,ORE
Orectolobus japonicus,ORJ
Orectolobus maculatus,ORT
Orectolobus ornatus,ORO
Orectolobus wardi,ORV
Sutorectus tentaculatus,ORS
Ginglymostoma cirratum,GNC
Ginglymostoma brevicaudatum,ORX
Ginglymostoma spp,GNG
Nebrius ferrugineus,ORZ
Hemiscyllium freycineti,ORF
Hemiscyllium hallstromi,ORK
Hemiscyllium ocellatum,ORN
Hemiscyllium strahani,ORQ
Hemiscyllium trispeculare,ORW
Chiloscyllium arabicum,ORA
Chiloscyllium caerulopunctatum,ORP
Chiloscyllium griseum,ORR
Chiloscyllium indicum,ORI
Chiloscyllium plagiosum,ORH
Chiloscyllium punctatum,ORB
Chiloscyllium burmensis,KYL
Chiloscyllium hasselti,YYL
Chiloscyllium spp,OQX
Rhincodon typus,RHN
Brachaelurus waddi,OBW
Heteroscyllium colcloughi,OBH
Cirrhoscyllium expolitum,OPC
Cirrhoscyllium formosanum,OPF
Cirrhoscyllium japonicum,OPJ
Parascyllium collare,OPY
Parascyllium ferrugineum,OPE
Parascyllium variolatum,OPV
Orectolobiformes,OCX
Galeus arae,GAA
Galeus boardmani,GAB
Galeus eastmani,GAE
Galeus melastomus,SHO
Galeus longirostris,GAO
Galeus murinus,GAM
Galeus nipponensis,GAN
Galeus piperatus,GAP
Galeus polli,GAQ
Galeus sauteri,GAI
Galeus schultzi,GAH
Galeus atlanticus,GHA
Galeus spp,GAU
Scyliorhinus canicula,SYC
