"","company","vessel","captain","observers","dep_date","arr_date","das","trip","drag","drag_all","location","drag_date","drag_period","drag_time_s","drag_time_e","time_fished_min","hrs_dec","depth","depth_sd","id_status","com_status","order","family","class","groups","group_2","categories","sci_name","alpha_code","com_name","sample_wt_lbs","total_wt_lbs","entered_by","cpue","total_wt_kg"
"1","NHS","World Friend 508","C Henry","T Browne and C Danjou","14/02/2019","24/02/2019",11,1,1,1,"06 38 - 57 30","15/02/2019","Day",08:00:00,12:00:00,04:00:00,4,10,"Deep","Yes","No","Perciformes","Sciaenidae","Actinopterygii","Discarded bycatch","Bycatch species","Bony fish","Paralonchurus brasiliensis","RLB","Banded croaker",0.5,1.26,"T browne",0.14,0.57
"2","NHS","World Friend 508","C Henry","T Browne and C Danjou","14/02/2019","24/02/2019",11,1,1,1,"06 38 - 57 30","15/02/2019","Day",08:00:00,12:00:00,04:00:00,4,10,"Deep","Yes","Yes","Perciformes","Sciaenidae","Actinopterygii","Discarded bycatch","Bycatch species","Bony fish","Macrodon ancylodon","WKK","Bangamary",3,7.58,"T browne",0.86,3.45
"3","NHS","World Friend 508","C Henry","T Browne and C Danjou","14/02/2019","24/02/2019",11,1,1,1,"06 38 - 57 30","15/02/2019","Day",08:00:00,12:00:00,04:00:00,4,10,"Deep","Yes","No","Decapoda","Malacostraca","Malacostraca","Discarded bycatch","Bycatch species","Shell fish","Hepatus gronovii","HGV","Box crab",0.7,1.77,"T browne",0.2,0.8
"4","NHS","World Friend 508","C Henry","T Browne and C Danjou","14/02/2019","24/02/2019",11,1,1,1,"06 38 - 57 30","15/02/2019","Day",08:00:00,12:00:00,04:00:00,4,10,"Deep","Yes","Yes","Perciformes","Sciaenidae","Actinopterygii","Discarded bycatch","Bycatch species","Bony fish","Nebris microps","NBM","Butterfish",3,7.58,"T browne",0.86,3.45
"5","NHS","World Friend 508","C Henry","T Browne and C Danjou","14/02/2019","24/02/2019",11,1,1,1,"06 38 - 57 30","15/02/2019","Day",08:00:00,12:00:00,04:00:00,4,10,"Deep","Yes","Yes","Siluriformes","Ariidae","Actinopterygii","Discarded bycatch","Bycatch species","Bony fish","Bagre bagre","BEB","Catfish",4.3,10.87,"T browne",1.24,4.94
"6","NHS","World Friend 508","C Henry","T Browne and C Danjou","14/02/2019","24/02/2019",11,1,1,1,"06 38 - 57 30","15/02/2019","Day",08:00:00,12:00:00,04:00:00,4,10,"Deep","Yes","Yes","Perciformes","Sciaenidae","Actinopterygii","Discarded bycatch","Bycatch species","Bony fish","Lonchurus elegans","RLE","Chinese butterfish",6.3,15.93,"T browne",1.81,7.24
"7","NHS","World Friend 508","C Henry","T Browne and C Danjou","14/02/2019","24/02/2019",11,1,1,1,"06 38 - 57 30","15/02/2019","Day",08:00:00,12:00:00,04:00:00,4,10,"Deep","Yes","No","Perciformes","Sciaenidae","Actinopterygii","Discarded bycatch","Bycatch species","Bony fish","Stellifer microps","EFM","Croaker lm",12,30.34,"T browne",3.45,13.79
"8","NHS","World Friend 508","C Henry","T Browne and C Danjou","14/02/2019","24/02/2019",11,1,1,1,"06 38 - 57 30","15/02/2019","Day",08:00:00,12:00:00,04:00:00,4,10,"Deep","Yes","No","Perciformes","Sciaenidae","Actinopterygii","Discarded bycatch","Bycatch species","Bony fish","Stellifer rastrifer","EFR","Croaker rm",20,50.57,"T browne",5.75,22.99
"9","NHS","World Friend 508","C Henry","T Browne and C Danjou","14/02/2019","24/02/2019",11,1,1,1,"06 38 - 57 30","15/02/2019","Day",08:00:00,12:00:00,04:00:00,4,10,"Deep","Yes","No","Pleuronectiformes","Achiridae","Actinopterygii","Discarded bycatch","Bycatch species","Flat fish","Achirus achirus","HIK","Drab sole",0.75,1.9,"T browne",0.22,0.86
"10","NHS","World Friend 508","C Henry","T Browne and C Danjou","14/02/2019","24/02/2019",11,1,1,1,"06 38 - 57 30","15/02/2019","Day",08:00:00,12:00:00,04:00:00,4,10,"Deep","Yes","No","Stomatopoda","Squillidae","Malacostraca","Discarded bycatch","Bycatch species","Shell fish","Squilla mantis","MTS","Mantis shrimp",0.7,1.77,"T browne",0.2,0.8
"11","NHS","World Friend 508","C Henry","T Browne and C Danjou","14/02/2019","24/02/2019",11,1,1,1,"06 38 - 57 30","15/02/2019","Day",08:00:00,12:00:00,04:00:00,4,10,"Deep","Yes","Yes","Batrachoidiformes","Batrachoididae","Actinopterygii","Discarded bycatch","Bycatch species","Bony fish","Batrachoides surinamensis","TFB","Pacu",2.5,6.32,"T browne",0.72,2.87
"12","NHS","World Friend 508","C Henry","T Browne and C Danjou","14/02/2019","24/02/2019",11,1,1,1,"06 38 - 57 30","15/02/2019","Day",08:00:00,12:00:00,04:00:00,4,10,"Deep","Yes","Yes","Perciformes","Sciaenidae","Actinopterygii","Discarded bycatch","Bycatch species","Bony fish","Cynoscion virescens","YNV","Seatrout",5,12.64,"T browne",1.44,5.75
"13","NHS","World Friend 508","C Henry","T Browne and C Danjou","14/02/2019","24/02/2019",11,1,1,1,"06 38 - 57 30","15/02/2019","Day",08:00:00,12:00:00,04:00:00,4,10,"Deep","Yes","No","Anguilliformes","Muraenidae","Actinopterygii","Discarded bycatch","Bycatch species","Other","Gymnothorax ocellatus","AMW","Sharpteeth eel",0.56,1.42,"T browne",0.16,0.65
