Scientific name,common name,Commercial status 
genyatremus_leteus,annafolk,yes
chloroscombrus_chrysurus,atlantic_bumber,no
paralonchurus_braziliensis,banded_croaker,no
colomesus_psittacus,banded_puffer,no
macrodon_ancylodon,bangamary,yes
micropogonias_furnieri,bashaw,yes
polydactylus_virginicus,beard_fish,no
hepatus_gronovii,box_crab,no
narcine_brasiliensis,brazilian_electric_ray,no
anchoviella_lepidentosole,broad_striped_anchovy,no
nebris_microps,butterfish,yes
gymnura_micrura,butterfly_stingray,no
bagre_bagre,catfish,yes
carank_hippos,cavalli,yes
paralonchurus_elegans,chinese_butterfish,yes
centropomus_pectinatus,chinese_snook,yes
rhinobatus_percellens,chola_guitarfish,no
rhinoptera_bonasus,cownose_ray,no
arius_proops,cuirass,yes
achirus_achirus,drab_sole,no
stellifer_lanceolatus,drum,no
etropus_crossotus,fringed_flounder,no
sphorades_testudineus,green_puffer,no
conodon_nobilis,grunt,no
cynoponticus_savanna,guyana_pike-conger,no
sphyrindae,hammer_head_shrak,yes
harengula_jaguana,herring,no
scyphozoa_sp.,jelly_fish,no
sphoeroides_parvus,least_puffer,no
dastyis_guttata,longnose_stingray,no
apionichthys_dumerili,longtail_sole,no
selene_vomer,lookdown,no
squilla_mantis,mantis_shrimp,no
selene_browni,moonfish,no
anchoa_mitchilli,negli,yes
batrachoides_surinamensis,pacu,yes
lobotes_surinamensis,pagi,yes
pellona_harroweri,river_pellona,no
stellifer_microps,rockhead,no
stellifer_rastrifer,rockhead,no
gyrmnothorax_ocellatus,sawtooth_moray,no
chaetodipterus_faber,sea_donkey,yes
xiphopenaeus_kroyeri,seabob,yes
cynoscion_virescens,seatrout,yes
dasyatis_geijskesi,sharpsnout_stingray,no
callinectes_ornatus,sheriga_crab,yes
ophichtus_gomesi,shrimp_eel,no
larimus_breviceps,silver_snapper,no
lolliguncula_brevis,squid,no
ocgcocephalus_darwini,batfish ,no
elops_saurus,ladyfish,no
luidia_senegalensis,nine_armed_seastar,no
porichthys_paueiradiatus,toad_fish,no
bairdiella_santaeluciae,b_s,no
hepatus_pudibundus,flecked_box_crab,no
petrochirus_diogenes,p_d,no
sphoeroides_testudineus,spotted_puffer,no
mustelus_higmani,smalleye_smoothhound,no
scomberomorus_brasiliensis,spanish_mackerel,yes
ephinephelus_flavolimbatus,jew_fish,yes
paradasygyius_tuberculatus,spider_crab,no
daysciaena_albida,d_a,no
clibanarius_foresti,hermit_crab ,no
ginglymostoma_cirratum,brown_shark,yes
cynoscion_jamaicensis,jamaica_weakfish,yes
renilla_muelleri,seapansy,no
clibanarius_foresti,hermit_crab ,no
renilla_muelleri,seapansy,no
polimixiidae_lowei,beard_fish ,no
anchoviella_lepidentostole,broadband_anchovy,no
un_id,uk,no
trichiurus_lepturus,silverbelt,no
persephona_lichtensteinii,siri_ball,no
trinectes_paulistanus,slipper_sole,no
urotrygon_microphthalmum,smalleyed_round_stingray,no
centropomus_undecimalis,snook,yes
amphiarius_rugispinis,softhead_sea_catfish,no
menticirrhus_americanus,southern_kingcroaker,no
anchoa_spinifer,specule_anchovy,no
diodon_holacanthus,spiky_puffer,no
aridae_(g)_arius,spring_cuirass,no
pseuduchenipterus_nodosus,sweetman,yes
symphurus_plagusia,tongue_fish,no
nematopalaemon_schmitti,whitebelly_shrimp,yes
rypticus_maculatus,whitespotted_soapfish,no
calappa_sulcata,yellow_box_crab,no
