sci_name,deep,shallow,difference
Achirus achirus,2.261,5.142,-2.881
Anchoa mitchilli,3.221,8.508,-5.288
Anchoa spinifer,3.927,6.886,-2.959
Arius proops,7.806,9.484,-1.679
Bagre bagre,6.925,6.786,0.139
Batrachoides surinamensis,5.188,6.099,-0.911
Callinectes ornatus,4.516,6.642,-2.126
Centropomus pectinatus,4.274,8.980,-4.706
Chaetodipterus faber,1.439,6.624,-5.185
Chloroscombrus chrysurus,2.776,5.573,-2.797
Colomesus psittacus,3.938,8.312,-4.374
Conodon nobilis,0.146,1.995,-1.850
Cynoscion virescens,6.984,7.625,-0.641
Dasyatis geijskesi,7.724,4.147,3.577
Dasyatis guttata,2.061,9.154,-7.093
Epinephelus flavolimbatus,1.195,0.156,1.039
Genyatremus luteus,1.817,5.294,-3.477
Gymnura micrura,4.709,8.909,-4.200
Harengula jaguana,2.370,5.853,-3.483
Hepatus gronovii,2.087,5.199,-3.111
Hepatus pudibundus,0.003,10.245,-10.243
Larimus breviceps,8.748,10.062,-1.314
Lolliguncula brevis,0.003,6.225,-6.222
Lonchurus elegans,3.494,7.727,-4.233
Macrodon ancylodon,9.720,11.277,-1.557
Micropogonias furnieri,3.065,10.063,-6.999
Multiple species finfish,3.957,8.097,-4.140
Multiple species prawns,2.849,9.311,-6.461
Mustelus higmani,6.240,0.559,5.680
Narcine brasiliensis,6.744,4.772,1.972
Nebris microps,6.472,8.802,-2.330
Ophichthus gomesii,2.889,6.898,-4.009
Paralonchurus brasiliensis,4.847,7.505,-2.658
Paulita tuberculata,0.028,0.005,0.023
Persephona lichtensteinii,2.406,6.536,-4.131
Polymixia lowei,3.978,10.328,-6.351
Pseudobatos percellens,0.795,5.140,-4.345
Scomberomorus brasiliensis,0.143,7.217,-7.074
Scyphozoa sp.,3.575,6.676,-3.101
Selene brownii,0.220,5.532,-5.312
Sphoeroides testudineus,2.446,2.851,-0.406
Squilla mantis,2.320,6.767,-4.447
Stellifer microps,17.827,10.741,7.086
Stellifer rastrifer,16.764,13.153,3.611
Symphurus plagusia,3.029,8.888,-5.859
Trichiurus lepturus,3.450,7.786,-4.335
Un id,1.241,6.505,-5.264
Urotrygon microphthalmum,3.222,8.071,-4.849
Xiphopenaeus kroyeri,82.674,47.304,35.370
