"","sci_name","drag_all","drag_period","catch_rate"
"1","Stellifer rastrifer",1,"Day",5.75
"2","Stellifer rastrifer",2,"Night",6.39
"3","Stellifer rastrifer",3,"Day",5.06
"4","Stellifer rastrifer",4,"Day",9.84
"5","Stellifer rastrifer",5,"Night",3.37
"6","Stellifer rastrifer",6,"Night",13.6
"7","Stellifer rastrifer",7,"Day",14.35
"8","Stellifer rastrifer",8,"Day",40.99
"9","Stellifer rastrifer",9,"Night",0.16
"10","Stellifer rastrifer",11,"Night",3.27
"11","Stellifer rastrifer",12,"Night",1.35
"12","Stellifer rastrifer",13,"Day",3.01
"13","Stellifer rastrifer",14,"Night",15.37
"14","Stellifer rastrifer",15,"Day",13.69
"15","Stellifer rastrifer",16,"Night",14.84
"16","Stellifer rastrifer",17,"Day",9
"17","Stellifer rastrifer",18,"Night",15.53
"18","Stellifer rastrifer",19,"Day",1.18
"19","Stellifer rastrifer",20,"Night",0.2
"20","Stellifer rastrifer",21,"Day",2.78
"21","Stellifer rastrifer",22,"Day",0.88
"22","Stellifer rastrifer",23,"Night",10.87
"23","Stellifer rastrifer",24,"Night",0.56
"24","Stellifer rastrifer",25,"Day",5.27
"25","Stellifer rastrifer",26,"Day",4.08
"26","Stellifer rastrifer",27,"Day",4.08
"27","Stellifer rastrifer",28,"Night",14.29
"28","Stellifer rastrifer",29,"Night",3.81
"29","Stellifer rastrifer",30,"Night",3.81
"30","Stellifer rastrifer",31,"Night",22.1
