company,vessel,captain,observers,dep_date,arr_date,das,trip,drag,drag_all,location,drag_date,drag_period,drag_time_s,drag_time_e,time_fished_min,depth,id_status,com_status,order,family,class,groups,categories,sci_name,alpha_code,com_name,sample_wt_lbs,total_wt_lbs,entered_by
nhs,ebb_tide,m_seepersaud ,t_browne_c_danjou,01/08/2019,10/08/2019,10,5,5,29,06:38 57:31,05/08/2019,night,6:15:00 pm,10:00:00 pm,3:45,7,yes,no,clupeiformes ,engraulidae ,actinopterygii,discarded_bycatch,bony_fish,anchoviella_lepidentostole,EVL,broadband_anchovy,0.03,31.43,c_danjou
nhs,world_friend_508,c_henry,t_browne_c_danjou,14/02/2019,24/02/2019,11,1,1,1,06 38 - 57 30,15/02/2019,day,8:00:00 am,12:00:00 pm,4:00,10,yes,no,decapoda,malacostraca,malacostraca ,discarded_bycatch,shell_fish,hepatus_gronovii,HGV,box_crab,0.7,1.77,t_browne
nhs,world_friend_508,c_henry,t_browne_c_danjou,14/02/2019,24/02/2019,11,1,1,1,06 38 - 57 30,15/02/2019,day,8:00:00 am,12:00:00 pm,4:00,10,yes,no,perciformes,sciaenidae,actinopterygii,discarded_bycatch,bony_fish,paralonchurus_brasiliensis,RLB,banded_croaker,0.5,1.26,t_browne
nhs,world_friend_508,c_henry,t_browne_c_danjou,14/02/2019,24/02/2019,11,1,2,2,06 38 - 57 30,15/02/2019,night,8:20:00 pm,12:20:00 am,4:00,10,yes,no,myliobatiformes,myliobatidae,elasmobranchii ,discarded_bycatch,flat_fish,rhinoptera_bonasus,MRB,cownose_stingray,1.12,1.12,t_browne
nhs,world_friend_508,c_henry,t_browne_c_danjou,14/02/2019,24/02/2019,11,1,1,1,06 38 - 57 30,15/02/2019,day,8:00:00 am,12:00:00 pm,4:00,10,yes,yes,perciformes,sciaenidae,actinopterygii,discarded_bycatch,bony_fish,macrodon_ancylodon,WKK,bangamary,3,7.58,t_browne
nhs,world_friend_508,c_henry,t_browne_c_danjou,14/02/2019,24/02/2019,11,1,1,1,06 38 - 57 30,15/02/2019,day,8:00:00 am,12:00:00 pm,4:00,10,yes,no,pleuronectiformes,achiridae,actinopterygii,discarded_bycatch,flat_fish,achirus_achirus,HIK,drab_sole,0.75,1.9,t_browne
nhs,world_friend_508,c_henry,t_browne_c_danjou,14/02/2019,24/02/2019,11,1,1,1,06 38 - 57 30,15/02/2019,day,8:00:00 am,12:00:00 pm,4:00,10,yes,yes,perciformes,sciaenidae,actinopterygii,discarded_bycatch,bony_fish,nebris_microps,NBM,butterfish,3,7.58,t_browne
nhs,world_friend_508,c_henry,t_browne_c_danjou,14/02/2019,24/02/2019,11,1,1,1,06 38 - 57 30,15/02/2019,day,8:00:00 am,12:00:00 pm,4:00,10,yes,yes,siluriformes,ariidae,actinopterygii,discarded_bycatch,bony_fish,bagre_bagre,BEB,catfish,4.3,10.87,t_browne
nhs,world_friend_508,c_henry,t_browne_c_danjou,14/02/2019,24/02/2019,11,1,1,1,06 38 - 57 30,15/02/2019,day,8:00:00 am,12:00:00 pm,4:00,10,yes,yes,not_applicable,not_applicable,not_applicable,retained _bycatch,shell_fish,multiple_species_prawns,not_applicable,prawns,0,3,t_browne
nhs,world_friend_508,c_henry,t_browne_c_danjou,14/02/2019,24/02/2019,11,1,1,1,06 38 - 57 30,15/02/2019,day,8:00:00 am,12:00:00 pm,4:00,10,yes,yes,perciformes,sciaenidae,actinopterygii,discarded_bycatch,bony_fish,lonchurus_elegans,RLE,chinese_butterfish,6.3,15.93,t_browne
psi,maria_gu,martin ,t_browne_c_danjou,22/03/2019,27/03/2019,6,2,4,10,Zone 2,25/03/2019,day,8:32:00 am,12:30:00 pm,3:58,10,yes,no,perciformes,sciaenidae,actinopterygii,discarded_bycatch,bony_fish,corvula_sanctaeluciae,NA,striped_croaker,0.04,0.62,c_danjou
nhs,world_friend_508,c_henry,t_browne_c_danjou,14/02/2019,24/02/2019,11,1,3,3,06 40 - 57 30,16/02/2019,day,9:45:00 am,1:45:00 pm,4:00,10,yes,no,myliobatiformes,myliobatidae,elasmobranchii ,discarded_bycatch,flat_fish,rhinoptera_bonasus,MRB,cownose_stingray,0.03,0.03,t_browne
psi,maria_gu,martin ,t_browne_c_danjou,22/03/2019,27/03/2019,6,2,5,11,Zone 4,25/03/2019,night,7:35:00 pm,11:35:00 pm,4:00,10,yes,no,perciformes,sciaenidae,actinopterygii,discarded_bycatch,bony_fish,corvula_sanctaeluciae,NA,striped_croaker,0.05,0.6,t_browne
psi,typhoon,d_pang,t_browne_c_danjou,19/06/2019,25/06/2019,7,4,1,19,Zone 8,20/06/2019,day,5:30:00 am,9:30:00 am,4:00,11,yes,no,myliobatiformes,myliobatidae,elasmobranchii ,discarded_bycatch,flat_fish,rhinoptera_bonasus,MRB,cownose_stingray,3.4,16.49,t_browne
nhs,world_friend_508,c_henry,t_browne_c_danjou,14/02/2019,24/02/2019,11,1,1,1,06 38 - 57 30,15/02/2019,day,8:00:00 am,12:00:00 pm,4:00,10,yes,yes,not_applicable,not_applicable,not_applicable,retained _bycatch,bony_fish,multiple_species_finfish,not_applicable,finfish,0,10.83,t_browne
nhs,world_friend_508,c_henry,t_browne_c_danjou,14/02/2019,24/02/2019,11,1,1,1,06 38 - 57 30,15/02/2019,day,8:00:00 am,12:00:00 pm,4:00,10,yes,yes,batrachoidiformes,batrachoididae,actinopterygii,discarded_bycatch,bony_fish,batrachoides_surinamensis,TFB,pacu,2.5,6.32,t_browne
nhs,world_friend_508,c_henry,t_browne_c_danjou,14/02/2019,24/02/2019,11,1,1,1,06 38 - 57 30,15/02/2019,day,8:00:00 am,12:00:00 pm,4:00,10,yes,yes,decapoda,portunidae,malacostraca,discarded_bycatch,shell_fish,callinectes_ornatus,KLO,sheriga_crab,8,20.23,t_browne
nhs,world_friend_508,c_henry,t_browne_c_danjou,14/02/2019,24/02/2019,11,1,1,1,06 38 - 57 30,15/02/2019,day,8:00:00 am,12:00:00 pm,4:00,10,yes,yes,perciformes,sciaenidae,actinopterygii,discarded_bycatch,bony_fish,cynoscion_virescens,YNV,seatrout,5,12.64,t_browne
nhs,world_friend_508,c_henry,t_browne_c_danjou,14/02/2019,24/02/2019,11,1,3,3,06 40 - 57 30,16/02/2019,day,9:45:00 am,1:45:00 pm,4:00,10,yes,no,perciformes,carangidae,actinopterygii,discarded_bycatch,bony_fish,selene_brownii,LNW,moonfish,0,0.01,t_browne
psi,maria_gu,martin ,t_browne_c_danjou,22/03/2019,27/03/2019,6,2,4,10,Zone 2,25/03/2019,day,8:32:00 am,12:30:00 pm,3:58,10,yes,no,perciformes,carangidae,actinopterygii,discarded_bycatch,bony_fish,selene_brownii,LNW,moonfish,0.03,0.51,c_danjou
nhs,world_friend_508,c_henry,t_browne_c_danjou,14/02/2019,24/02/2019,11,1,1,1,06 38 - 57 30,15/02/2019,day,8:00:00 am,12:00:00 pm,4:00,10,yes,no,decapoda,leucosiidae,malacostraca ,discarded_bycatch,shell_fish,persephona_lichtensteinii,NA,siri_ball,2,5.06,t_browne
