company,vessel,captain,observers,dep_date,arr_date,das,trip,drag,drag_all,location,drag_date,drag_period,drag_time_s,drag_time_e,time_fished_min,hrs_dec,depth,depth_sd,id_status,com_status,order,family,class,groups,group_2,categories,sci_name,alpha_code,com_name,sample_wt_lbs,total_wt_lbs,entered_by,cpue
NHS,World Friend 508,C Henry,T Browne and C Danjou,14/02/2019,24/02/2019,11,1,1,1,06 38 - 57 30,15/02/2019,Day,8:00:00 am,12:00:00 pm,4:00,4,10,Deep,Yes,No,Perciformes,Sciaenidae,Actinopterygii,Discarded bycatch,Bycatch species,Bony fish,Paralonchurus brasiliensis,RLB,Banded croaker,0.5,1.26,T browne,0.315
NHS,World Friend 508,C Henry,T Browne and C Danjou,14/02/2019,24/02/2019,11,1,1,1,06 38 - 57 30,15/02/2019,Day,8:00:00 am,12:00:00 pm,4:00,4,10,Deep,Yes,Yes,Perciformes,Sciaenidae,Actinopterygii,Discarded bycatch,Bycatch species,Bony fish,Macrodon ancylodon,WKK,Bangamary,3,7.58,T browne,1.895
NHS,World Friend 508,C Henry,T Browne and C Danjou,14/02/2019,24/02/2019,11,1,1,1,06 38 - 57 30,15/02/2019,Day,8:00:00 am,12:00:00 pm,4:00,4,10,Deep,Yes,No,Decapoda,Malacostraca,Malacostraca,Discarded bycatch,Bycatch species,Shell fish,Hepatus gronovii,HGV,Box crab,0.7,1.77,T browne,0.4425
NHS,World Friend 508,C Henry,T Browne and C Danjou,14/02/2019,24/02/2019,11,1,1,1,06 38 - 57 30,15/02/2019,Day,8:00:00 am,12:00:00 pm,4:00,4,10,Deep,Yes,Yes,Perciformes,Sciaenidae,Actinopterygii,Discarded bycatch,Bycatch species,Bony fish,Nebris microps,NBM,Butterfish,3,7.58,T browne,1.895
NHS,World Friend 508,C Henry,T Browne and C Danjou,14/02/2019,24/02/2019,11,1,1,1,06 38 - 57 30,15/02/2019,Day,8:00:00 am,12:00:00 pm,4:00,4,10,Deep,Yes,Yes,Siluriformes,Ariidae,Actinopterygii,Discarded bycatch,Bycatch species,Bony fish,Bagre bagre,BEB,Catfish,4.3,10.87,T browne,2.7175
NHS,World Friend 508,C Henry,T Browne and C Danjou,14/02/2019,24/02/2019,11,1,1,1,06 38 - 57 30,15/02/2019,Day,8:00:00 am,12:00:00 pm,4:00,4,10,Deep,Yes,Yes,Perciformes,Sciaenidae,Actinopterygii,Discarded bycatch,Bycatch species,Bony fish,Lonchurus elegans,RLE,Chinese butterfish,6.3,15.93,T browne,3.9825
NHS,World Friend 508,C Henry,T Browne and C Danjou,14/02/2019,24/02/2019,11,1,1,1,06 38 - 57 30,15/02/2019,Day,8:00:00 am,12:00:00 pm,4:00,4,10,Deep,Yes,No,Perciformes,Sciaenidae,Actinopterygii,Discarded bycatch,Bycatch species,Bony fish,Stellifer microps,EFM,Croaker lm,12,30.34,T browne,7.585
NHS,World Friend 508,C Henry,T Browne and C Danjou,14/02/2019,24/02/2019,11,1,1,1,06 38 - 57 30,15/02/2019,Day,8:00:00 am,12:00:00 pm,4:00,4,10,Deep,Yes,No,Perciformes,Sciaenidae,Actinopterygii,Discarded bycatch,Bycatch species,Bony fish,Stellifer rastrifer,EFR,Croaker rm,20,50.57,T browne,12.6425
NHS,World Friend 508,C Henry,T Browne and C Danjou,14/02/2019,24/02/2019,11,1,1,1,06 38 - 57 30,15/02/2019,Day,8:00:00 am,12:00:00 pm,4:00,4,10,Deep,Yes,No,Pleuronectiformes,Achiridae,Actinopterygii,Discarded bycatch,Bycatch species,Flat fish,Achirus achirus,HIK,Drab sole,0.75,1.9,T browne,0.475
NHS,World Friend 508,C Henry,T Browne and C Danjou,14/02/2019,24/02/2019,11,1,1,1,06 38 - 57 30,15/02/2019,Day,8:00:00 am,12:00:00 pm,4:00,4,10,Deep,Yes,Yes,Not applicable,Not applicable,Not applicable,Retained bycatch,Bycatch species,Bony fish,Multiple species finfish,Not applicable,Finfish,0,10.83,T browne,2.7075
