scientific_name,order,family,class,fao_code,species_referecnce
Achirus achirus,Pleuronectiformes,Achiridae,Actinopterygii,HIK,"Linnaeus, 1758"
Amphiarius rugispinis,Siluriformes,Ariidae,Actinopterygii,AWR,"Valenciennes, 1840"
Anchoa mitchilli,Clupeiformes,Engraulidae ,Actinopterygii,ANB,"Valenciennes, 1848"
Anchoa spinifer,Clupeiformes,Engraulidae ,Actinopterygii,EAH,"Valenciennes, 1848"
Anchoviella lepidentostole,Clupeiformes ,Engraulidae ,Actinopterygii,EVL,"Fowler, 1911"
Apionichthys dumerili,Pleuronectiformes,Achiridae,Actinopterygii,IYD,"Kaup, 1858"
Arius proops,Siluriformes,Ariidae,Actinopterygii,AXP,"Valenciennes, 1840"
Bagre bagre,Siluriformes,Ariidae,Actinopterygii,BEB,"Linnaeus, 1766"
Batrachoides surinamensis,Batrachoidiformes,Batrachoididae,Actinopterygii,TFB,"Bloch & Schneider, 1801"
Rhinoptera bonasus,Myliobatiformes ,Myliobatidae,Elasmobranchii ,MRB,"Mitchill, 1815"
Selene brownii,Perciformes,Carangidae,Actinopterygii,LNW,"Cuvier, 1816"
Squilla mantis,Stomatopoda,Squillidae,Malacostraca,MTS,"Linnaeus, 1758"
Stellifer microps,Perciformes,Sciaenidae,Actinopterygii,EFM,"Steindachner, 1864"
Stellifer rastrifer,Perciformes,Sciaenidae,Actinopterygii,EFR,"Jordan, 1889"
Symphurus plagusia,Pleuronectiformes,Cynoglossidae,Actinopterygii,YFS,"Bloch & Schneider, 1801"
Trichiurus lepturus,Perciformes,Trichiuridae ,Actinopterygii,LHT,"Linnaeus, 1758"
Urotrygon microphthalmum,Myliobatiformes,Urotrygonidae,Elasmobranchii ,JUM,"Delsman, 1941"
Xiphopenaeus kroyeri,Decapoda,Penaeidae,Malacostraca,BOB,"Heller, 1862"
Calappa sulcata,Decapoda,Calappidae,Malacostraca,KPS,"Rathbun, 1898"
Callinectes ornatus,Decapoda,Portunidae,Malacostraca,KLO,"Ordway, 1863"
Caranx hippos,Perciformes,Carangidae,Actinopterygii,CVJ,"Linnaeus, 1766"
Centropomus pectinatus,Perciformes,Centropomidae,Actinopterygii,EPS,"Poey, 1860"
Centropomus undecimalis,Perciformes,Centropomidae,Actinopterygii,SNO,"Bloch, 1792"
Chaetodipterus faber,Perciformes,Ephippidae,Actinopterygii,HRF,"Broussonet, 1782"
Chloroscombrus chrysurus,Perciformes,Carangidae,Actinopterygii,BUA,"Linnaeus, 1766"
