sci_name,day,night,difference 
Achirus achirus,15.566,13.978,1.588
Anchoa mitchilli,18.823,24.249,-5.426
Anchoa spinifer,21.704,27.948,-6.244
Arius proops,46.090,22.822,23.268
Bagre bagre,32.396,22.218,10.178
Batrachoides surinamensis,20.475,23.906,-3.430
Callinectes ornatus,15.911,23.730,-7.819
Centropomus pectinatus,18.323,21.433,-3.110
Chaetodipterus faber,14.371,17.248,-2.877
Chloroscombrus chrysurus,22.310,2.590,19.720
Clibanarius foresti,1.510,21.433,-19.923
Colomesus psittacus,25.102,19.388,5.713
Conodon nobilis,0.535,8.400,-7.865
Corvula sanctaeluciae,0.620,0.600,0.020
Cynoscion virescens,26.576,26.620,-0.043
Dasyatis geijskesi,22.530,24.026,-1.497
Dasyatis guttata,21.404,20.452,0.952
Epinephelus flavolimbatus,4.185,1.390,2.795
Genyatremus luteus,6.145,24.638,-18.493
Gymnura micrura,29.105,18.700,10.404
Harengula jaguana,16.321,18.117,-1.795
Hepatus gronovii,10.142,11.075,-0.933
Hepatus pudibundus,23.195,31.430,-8.235
Larimus breviceps,42.248,22.839,19.409
Lolliguncula brevis,20.659,20.770,-0.111
Lonchurus elegans,23.572,23.806,-0.234
Macrodon ancylodon,41.437,36.299,5.138
Micropogonias furnieri,15.346,13.044,2.302
Multiple species finfish,21.554,21.554,0.000
Multiple species prawns,26.887,16.730,10.157
Mustelus higmani,2.860,24.400,-21.540
Narcine brasiliensis,27.602,7.143,20.458
Nebris microps,24.616,34.919,-10.303
Ophichthus gomesii,16.063,18.414,-2.351
Paralonchurus brasiliensis,24.118,19.257,4.861
Persephona lichtensteinii,7.347,17.647,-10.300
Polymixia lowei,36.318,38.905,-2.587
Pseudobatos percellens,19.613,5.425,14.188
Rhinoptera bonasus,8.260,1.120,7.140
Scomberomorus brasiliensis,12.410,46.380,-33.970
Scyphozoa sp.,19.307,24.360,-5.053
Selene brownii,13.765,20.145,-6.380
Sphoeroides testudineus,13.834,1.913,11.922
Squilla mantis,14.369,17.949,-3.580
Stellifer microps,51.201,56.989,-5.788
Stellifer rastrifer,59.395,56.297,3.097
Symphurus plagusia,16.685,35.704,-19.018
Trichiurus lepturus,24.596,15.677,8.918
Urotrygon microphthalmum,14.761,24.768,-10.006
