sci_name,day,night,difference
Achirus achirus,4.138,3.568,0.570
Anchoa mitchilli,5.007,8.163,-3.156
Anchoa spinifer,5.875,7.040,-1.165
Arius proops,12.268,5.718,6.550
Bagre bagre,8.339,5.506,2.833
Batrachoides surinamensis,5.486,5.934,-0.448
Callinectes ornatus,4.195,6.950,-2.755
Centropomus pectinatus,5.186,5.716,-0.530
Chaetodipterus faber,3.988,4.322,-0.334
Chloroscombrus chrysurus,6.250,0.744,5.506
Clibanarius foresti,0.422,5.716,-5.294
Colomesus psittacus,6.716,6.859,-0.143
Conodon nobilis,0.146,1.995,-1.850
Corvula sanctaeluciae,0.156,0.150,0.006
Cynoscion virescens,6.823,7.862,-1.039
Dasyatis geijskesi,5.894,6.136,-0.242
Dasyatis guttata,5.613,6.966,-1.352
Epinephelus flavolimbatus,1.026,0.324,0.702
Genyatremus luteus,1.432,6.130,-4.697
Gymnura micrura,7.566,6.230,1.335
Harengula jaguana,4.191,4.448,-0.258
Hepatus gronovii,2.643,4.856,-2.213
Hepatus pudibundus,6.056,8.381,-2.325
Larimus breviceps,10.986,7.994,2.992
Lolliguncula brevis,5.623,5.556,0.067
Lonchurus elegans,6.114,6.037,0.078
Macrodon ancylodon,10.824,10.173,0.651
Micropogonias furnieri,4.185,7.991,-3.806
Multiple species finfish,5.628,6.426,-0.798
Multiple species prawns,6.943,5.217,1.727
Mustelus higmani,0.715,6.162,-5.447
Narcine brasiliensis,7.395,1.721,5.674
Nebris microps,6.380,8.900,-2.520
Ophichthus gomesii,4.344,5.862,-1.517
Paralonchurus brasiliensis,6.234,6.117,0.116
Persephona lichtensteinii,1.956,7.031,-5.075
Polymixia lowei,9.668,9.730,-0.062
Pseudobatos percellens,4.850,1.374,3.476
Rhinoptera bonasus,2.065,0.280,1.785
Scomberomorus brasiliensis,3.517,11.079,-7.562
Scyphozoa sp.,5.117,6.123,-1.006
Selene brownii,3.690,4.975,-1.285
Sphoeroides testudineus,3.380,0.514,2.867
Squilla mantis,3.949,6.047,-2.098
Stellifer microps,12.926,15.542,-2.615
Stellifer rastrifer,15.145,14.705,0.440
Symphurus plagusia,4.481,7.769,-3.288
Trichiurus lepturus,6.386,5.056,1.330
Urotrygon microphthalmum,4.102,9.961,-5.859
