DATE,Length_CM,Frequency
15.1.2015,77,3
15.1.2015,78,1
15.1.2015,82,1
15.1.2015,73,2
15.1.2015,84,1
15.1.2015,71,3
15.1.2015,81,2
15.1.2015,80,5
15.1.2015,70,1
15.1.2015,73,5
15.1.2015,75,10
15.1.2015,79,6
15.1.2015,74,6
15.1.2015,73,6
15.1.2015,80,11
15.1.2015,89,7
15.1.2015,94,8
15.1.2015,77,9
15.1.2015,68,7
15.1.2015,86,8
15.1.2015,72,7
15.1.2015,65,6
15.1.2015,83,6
15.1.2015,78,6
15.1.2015,67,4
15.1.2015,74,5
15.1.2015,75,5
15.1.2015,77,3
15.1.2015,84,6
15.1.2015,88,2
15.1.2015,89,2
15.1.2015,76,1
15.1.2015,85,3
15.1.2015,80,3
15.1.2015,79,1
15.1.2015,82,2
15.1.2015,75,4
15.1.2015,68,2
15.1.2015,58,1
15.1.2015,59,2
15.1.2015,57,6
15.1.2015,70,1
15.1.2015,65,2
15.1.2015,73,1
15.1.2015,53,2
15.1.2015,70,1
15.1.2015,61,1
15.1.2015,62,2
15.1.2015,67,2
15.1.2015,66,1
15.1.2015,64,1
15.1.2015,63,2
15.1.2015,56,3
15.1.2015,60,1
15.1.2015,62,1
15.1.2015,74,1
15.1.2015,58,2
15.1.2015,63,1
15.1.2015,25,1
15.1.2015,77,1
15.1.2015,40,1
15.1.2015,65,1
15.1.2015,67,1
15.1.2015,68,1
15.1.2015,82,1
15.1.2015,66,1
15.1.2015,68,1
15.1.2015,53,1
15.1.2015,69,1
15.1.2015,61,1
15.1.2015,47,1
15.1.2015,44,1
15.1.2015,52,1
15.1.2015,79,1
15.1.2015,82,1
15.1.2015,60,1
15.2.2015,80,1
15.2.2015,82,1
15.2.2015,72,2
15.2.2015,63,1
15.2.2015,77,1
15.2.2015,47,2
15.2.2015,8,1
15.2.2015,76,5
15.2.2015,81,2
15.2.2015,78,3
15.2.2015,77,2
15.2.2015,79,1
15.2.2015,80,4
15.2.2015,85,2
15.2.2015,48,1
15.2.2015,49,3
15.2.2015,74,8
15.2.2015,84,8
15.2.2015,90,10
15.2.2015,86,9
15.2.2015,100,5
15.2.2015,87,2
15.2.2015,90,1
15.2.2015,92,3
15.2.2015,80,3
15.2.2015,89,1
15.2.2015,90,1
15.3.2015,69,1
15.3.2015,69,5
15.3.2015,70,4
15.3.2015,68,5
15.3.2015,73,3
15.3.2015,80,5
15.3.2015,76,4
15.3.2015,78,4
15.3.2015,78,10
15.3.2015,81,12
15.3.2015,80,7
15.3.2015,77,9
15.3.2015,86,13
15.3.2015,84,3
15.3.2015,83,7
15.3.2015,76,5
15.4.2015,60,1
15.4.2015,70,1
15.4.2015,82,1
15.4.2015,55,1
15.4.2015,48,3
15.4.2015,52,6
15.4.2015,46,2
15.4.2015,47,2
15.4.2015,44,1
15.4.2015,49,1
15.4.2015,54,1
15.4.2015,40,1
15.4.2015,48,1
15.4.2015,42,1
15.4.2015,41,1
15.4.2015,43,1
15.4.2015,63,6
15.4.2015,60,8
15.4.2015,58,6
15.5.2015,60,3
15.5.2015,50,4
15.5.2015,47,3
15.6.2015,61,1
15.6.2015,73,6
15.6.2015,74,3
15.6.2015,75,2
15.6.2015,76,4
15.6.2015,77,2
15.6.2015,78,1
15.6.2015,79,1
15.6.2015,80,3
15.6.2015,70,3
15.6.2015,71,7
15.6.2015,72,9
15.6.2015,73,5
15.6.2015,74,3
15.6.2015,75,10
15.6.2015,76,1
15.6.2015,77,1
15.6.2015,78,2
15.6.2015,79,5
15.6.2015,70,16
15.6.2015,71,9
15.6.2015,72,6
15.6.2015,73,8
15.6.2015,74,3
15.6.2015,75,2
15.6.2015,76,12
15.6.2015,77,8
15.6.2015,78,6
15.6.2015,74,4
15.6.2015,75,2
15.6.2015,76,3
15.6.2015,77,3
15.6.2015,78,7
15.6.2015,79,3
15.6.2015,75,2
15.6.2015,76,3
15.6.2015,77,1
15.6.2015,78,3
15.6.2015,79,4
15.6.2015,80,1
15.6.2015,81,1
15.6.2015,82,3
15.6.2015,83,1
15.6.2015,84,7
15.6.2015,85,3
15.6.2015,60,2
15.6.2015,63,3
15.6.2015,58,1
15.7.2015,59,8
15.7.2015,63,10
15.7.2015,80,15
15.7.2015,85,11
15.7.2015,90,8
15.7.2015,93,9
15.7.2015,95,9
15.7.2015,67,6
15.7.2015,68,2
15.7.2015,69,3
15.7.2015,70,2
15.7.2015,71,2
15.7.2015,72,2
15.7.2015,73,8
15.7.2015,74,3
15.7.2015,75,1
15.7.2015,76,1
15.7.2015,79,1
15.7.2015,70,3
15.7.2015,72,6
15.7.2015,73,3
15.7.2015,75,2
15.7.2015,79,4
15.7.2015,63,2
15.7.2015,59,3
15.7.2015,68,1
15.8.2015,79,2
15.8.2015,86,1
15.8.2015,70,1
15.8.2015,78,2
15.8.2015,64,1
15.8.2015,88,1
